frame_id,agent_0_x,agent_0_y,agent_1_x,agent_1_y,agent_2_x,agent_2_y,agent_3_x,agent_3_y,agent_4_x,agent_4_y,agent_5_x,agent_5_y
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9.740286085469444,4.684682488246418,3.201536889203824,5.572604892972912,9.740286085469444,4.684682488246418,11.587352916746287,8.000000057008348,11.587352916746287,8.000000057008348,12.52098084712088,8.000025354935845
2,9.827824693314435,4.622990606767696,3.4662543868438993,5.972952840027108,9.827824693314435,4.622990606767696,11.587352916746287,8.000000056565444,11.587352916746287,8.000000056565444,12.520980845223686,8.000003848226333
3,9.999569570142476,4.790632180618936,3.6107131648283928,6.164607898565166,9.999569570142476,4.790632180618936,11.347352916746289,8.000000029874897,11.347352916746289,8.000000029874897,12.760980845175578,7.99999904279555
4,9.913972481032948,4.566415458816178,3.759499486228169,6.352923141082394,9.913972481032948,4.566415458816178,11.587352916746287,8.000000056569727,11.587352916746287,8.000000056569727,12.520980845180812,8.000000627967307
5,10.079329841576314,4.74036068960487,3.917844329757955,6.533275325786455,10.079329841576314,4.74036068960487,11.347352916746289,8.000000029874924,11.347352916746289,8.000000029874924,12.760980845179656,7.999999883185169
6,9.9987560484839,4.5142902053157865,4.080264671883827,6.709966107842891,9.9987560484839,4.5142902053157865,11.587352916746287,8.000000056569684,11.587352916746287,8.000000056569684,12.5209808451798,8.000000145789027
7,10.157973445061359,4.6938725558603105,4.25334563218716,6.876227892930373,10.157973445061359,4.6938725558603105,11.347352916746289,8.000000029874924,11.347352916746289,8.000000029874924,12.76098084517976,8.000000009019029
8,10.082092801754412,4.466183891295462,4.432417611591488,7.036019088533311,10.082092801754412,4.466183891295462,11.587352916746287,8.000000056569684,11.587352916746287,8.000000056569684,12.52098084517977,8.000000073591142
9,10.235337513893578,4.650889219321981,4.627664559669259,7.1755849484931025,10.235337513893578,4.650889219321981,11.347352916746289,8.000000029874924,11.347352916746289,8.000000029874924,12.760980845179764,8.00000002786048
10,10.163854855073252,4.42178175657147,4.83140712971801,7.302427233043364,10.163854855073252,4.42178175657147,11.587352916746287,8.000000056569684,11.587352916746287,8.000000056569684,12.520980845179768,8.000000062780753
11,10.31125315695674,4.611185401208695,5.046286773686629,7.409323157230957,10.31125315695674,4.611185401208695,11.347352916746289,8.000000029874924,11.347352916746289,8.000000029874924,12.760980845179766,8.000000030681662
12,10.385559085075936,4.574563717844177,5.484469709272409,7.604987644922054,10.385559085075936,4.574563717844177,11.347352916746289,8.000000029874924,11.347352916746289,8.000000029874924,12.760980845179766,8.000000031104086
13,10.322089115558486,4.343108402568304,5.7062414712492435,7.6967334109807135,10.322089115558486,4.343108402568304,11.587352916746287,8.000000056569684,11.587352916746287,8.000000056569684,12.520980845179768,8.000000060919715
14,10.458130545565725,4.540827216345813,5.9326979058870855,7.776216007887942,10.458130545565725,4.540827216345813,11.347352916746289,8.000000029874924,11.347352916746289,8.000000029874924,12.760980845179766,8.000000031167337
15,10.398336006722918,4.308395262594665,6.15869789411248,7.8569873228587985,10.398336006722918,4.308395262594665,11.587352916746287,8.000000056569684,11.587352916746287,8.000000056569684,12.520980845179768,8.000000060883425
16,10.529537935065731,4.509358080048859,6.3895123729635035,7.922749594357969,10.529537935065731,4.509358080048859,11.347352916746289,8.000000029874924,11.347352916746289,8.000000029874924,12.760980845179766,8.000000031176807
17,10.47355233568652,4.2759793906572385,6.617787325994959,7.996847811735222,10.47355233568652,4.2759793906572385,11.587352916746287,8.000000056569684,11.587352916746287,8.000000056569684,12.520980845179768,8.000000060877992
18,10.558728988130204,4.23920825734364,7.045319729451456,8.192033983579151,10.558728988130204,4.23920825734364,11.587352916746287,8.000000056569684,11.587352916746287,8.000000056569684,12.520980845179768,8.000000060877179
19,10.728256174627022,4.409092138387349,7.2787938879255645,8.247620108869611,10.728256174627022,4.409092138387349,11.347352916746289,8.000000029874924,11.347352916746289,8.000000029874924,12.760980845179766,8.000000031178438
20,10.685449541477414,4.17294050879654,7.039581023244141,8.267041884558433,10.685449541477414,4.17294050879654,11.587352916746287,8.000000056569684,11.587352916746287,8.000000056569684,12.520980845179768,8.000000060877056
21,10.836947549803945,4.359081190736556,7.274937629836407,8.314023452575832,10.836947549803945,4.359081190736556,11.347352916746289,8.000000029874924,11.347352916746289,8.000000029874924,12.760980845179766,8.00000003117847
22,10.802346247357445,4.121588559547701,7.03643595075618,8.340799357339487,10.802346247357445,4.121588559547701,11.587352916746287,8.000000056569684,11.587352916746287,8.000000056569684,12.520980845179768,8.000000060877039
23,10.941661004878126,4.317014756197366,7.272775239937972,8.382557474981988,10.941661004878126,4.317014756197366,11.347352916746289,8.000000029874924,11.347352916746289,8.000000029874924,12.760980845179766,8.000000031178473
24,11.045762932208474,4.279178368868196,7.035866927876768,8.420956064491383,11.045762932208474,4.279178368868196,11.587352916746287,8.000000056569684,11.587352916746287,8.000000056569684,12.760980845179766,8.000000031178475
25,11.024929714229843,4.040084293181125,7.037762796740127,8.502200299427852,11.024929714229843,4.040084293181125,11.587352916746287,8.000000056569684,11.587352916746287,8.000000056569684,12.520980845179768,8.000000060877035
26,11.149156536855832,4.245432038579634,7.2760982817253765,8.530417255267313,11.149156536855832,4.245432038579634,11.347352916746289,8.000000029874924,11.347352916746289,8.000000029874924,12.760980845179766,8.000000031178475
